Symbol,RMSE,MSE,MAE,MAPE,R2,Accuracy,Precision,Recall,F1_Score
STX,3.0791320579926107,9.48105423055781,2.325327642676542,2.440001633844976,0.903024873692298,52.39520958083832,67.35751295336787,57.52212389380531,62.05250596658711
STZ,11.15176783476876,124.36192584058308,8.219568012492454,4.209061257827324,0.8717862050141099,46.40718562874252,61.64383561643836,42.25352112676056,50.13927576601671
SWK,7.260315779242631,52.712185214319526,4.571937463996684,6.445315268506511,0.7140100426949172,50.59880239520959,64.90066225165563,46.66666666666666,54.29362880886427
SWKS,20.628291029127976,425.5263907824017,18.198442828145936,20.3933364044642,-0.456006370488881,49.10179640718562,64.97175141242938,51.569506726457405,57.49999999999999
SYF,2.166835402256149,4.695175660470567,1.8455715001768127,3.228625027025147,0.9255021109000238,48.80239520958084,65.89595375722543,50.4424778761062,57.14285714285714
SYK,4.289726722911113,18.40175535725772,2.9149412148336844,0.8008655570338853,0.9502898482634704,51.796407185628745,68.0,53.125,59.64912280701754
SYY,12.91109581395592,166.6963951171501,12.862492337024928,17.284508908364238,-21.67476671177924,52.09580838323353,67.59776536312849,54.26008968609865,60.19900497512438
T,5.888370730764843,34.6729098629281,5.811254307995538,24.83279558869779,-2.9704264065294588,52.09580838323353,69.1919191919192,58.05084745762712,63.1336405529954
TAP,14.018202618652351,196.51000465759165,13.89744354874341,24.4322328297254,-17.85691605625896,48.50299401197605,64.97175141242938,51.11111111111111,57.2139303482587
TDG,469.857683257844,220766.2425164284,468.1611564911833,35.312779892260835,-60.67247935845889,48.20359281437126,67.41573033707866,51.06382978723404,58.111380145278446
TEL,2.793493849527761,7.803607887349429,2.25490230246443,1.523617592898666,0.8439738411420518,50.59880239520959,66.08187134502924,51.36363636363637,57.8005115089514
TGT,10.799803154069233,116.63574816664376,10.16393313395301,7.6643792811153535,0.7422604331608413,52.69461077844312,63.775510204081634,58.9622641509434,61.274509803921575
TJX,1.6140909340024805,2.605289543228999,1.2526604114076902,1.040884266592642,0.9217857068023764,48.50299401197605,66.0919540229885,50.43859649122807,57.2139303482587
TMO,7.465196088702181,55.729152642774345,4.89337537196857,0.9386538371230494,0.9858059835778148,45.20958083832336,57.86163522012578,44.230769230769226,50.13623978201635
TPR,28.23276641914456,797.0890996779764,27.324035480042,45.78522354569776,-2.404737752060142,57.78443113772455,71.89189189189189,59.90990990990991,65.35626535626535
TRIP,1.15213056092627,1.3274048294202816,0.9518767935677036,6.571112636132515,0.5323632278460715,57.18562874251497,70.64220183486239,66.09442060085837,68.29268292682927
TROW,25.730191666967475,662.0427632188826,23.671069759620664,21.3939878628608,-5.120992192427854,58.08383233532935,68.89952153110048,65.75342465753424,67.28971962616822
TRV,61.38290763582323,3767.861349828006,61.11272669388645,25.126121448894025,-9.857284205869629,49.40119760479042,66.66666666666666,54.310344827586206,59.85748218527316
TSCO,0.8776736461867696,0.7703110292107788,0.5677033120678443,1.053718970688294,0.8873142917716536,49.40119760479042,65.69767441860465,50.67264573991032,57.21518987341773
TSN,0.8688593383722253,0.7549165498766212,0.6266429001964724,1.0511456347724946,0.8964816454596614,48.50299401197605,64.11764705882354,49.54545454545455,55.8974358974359
TXN,3.976739817520012,15.814459576249098,2.745770333094394,1.459556959358603,0.935087908123428,44.31137724550898,60.49382716049383,44.54545454545455,51.30890052356021
TXT,25.93090014500312,672.4115823301227,25.71751361592492,31.99268789098963,-10.452100608970614,52.69461077844312,67.61363636363636,54.090909090909086,60.1010101010101
UA,0.4506835889862656,0.2031156973815412,0.3462811101049518,5.164345218125449,0.8189488579288905,50.59880239520959,63.58695652173913,54.4186046511628,58.64661654135338
UAA,0.8568576443268011,0.7342050226412747,0.7584279549388753,10.151035588253784,0.5399397052271847,47.90419161676647,62.75862068965517,43.127962085308056,51.12359550561798
UAL,2.2209491528298813,4.932615139455767,1.4182381614242026,1.909450333231144,0.9897736334038022,49.10179640718562,65.89595375722543,50.66666666666667,57.286432160804026
UDR,8.123648399820262,65.99366332390228,8.050428098147039,18.686779155201588,-19.195172716720386,48.20359281437126,62.85714285714285,50.45871559633027,55.97964376590331
UHS,23.228272913204226,539.5526625302971,18.40740049497225,8.775008058549721,-0.2530895746925337,46.706586826347305,64.49704142011834,48.01762114537445,55.05050505050505
ULTA,9.283685147915364,86.18680992562433,7.137237202118612,1.8709648578275344,0.883750415946987,47.90419161676647,62.27544910179641,48.372093023255815,54.45026178010471
UNH,13.632001479273246,185.83146433090795,8.318453574218957,1.6482900156537348,0.9666206309286172,47.30538922155689,63.905325443786985,48.4304932735426,55.10204081632652
UNM,1.2838534214754784,1.6482796078342927,0.8352558326721217,1.2025125573822817,0.9847037694599512,55.08982035928144,71.07843137254902,61.440677966101696,65.9090909090909
UNP,3.1921195736612806,10.189627372551476,2.2095840920975016,0.9326361167610082,0.9103907311218078,53.89221556886228,70.05988023952095,52.94117647058824,60.30927835051546
UPS,7.246425088193039,52.51067655879349,4.056793066287885,3.902152154471277,0.7169588619096194,53.293413173652695,65.3061224489796,59.25925925925925,62.13592233009708
URI,20.93169099773312,438.1356880245816,17.478775540211313,2.42146918309065,0.9308766371896016,48.20359281437126,63.35403726708074,47.22222222222222,54.11140583554377
USB,2.053260912109106,4.215880373195117,1.6098618963556504,3.6592814629025736,0.711233881934385,53.89221556886228,67.70833333333334,58.55855855855856,62.80193236714976
VFC,6.368420573642258,40.55678060278998,5.7271737201462924,33.9812139009812,-1.2761637377668258,52.09580838323353,66.66666666666666,55.203619909502265,60.3960396039604
VLO,76.23765348486815,5812.179808878828,75.91279130898661,56.544981913383744,-42.23853329963534,51.796407185628745,68.8622754491018,51.33928571428571,58.82352941176471
VMC,4.850488788711382,23.52724148941481,3.891469934975968,1.5064661667930117,0.9160115382656177,50.29940119760479,68.32298136645963,48.888888888888886,56.994818652849744
VNO,0.9204660612580572,0.8472577699279216,0.6932129410469722,1.8425338543222565,0.965440752287942,49.40119760479042,68.18181818181817,51.50214592274678,58.679706601467
VRSK,5.601002988186595,31.37123447367517,4.689462932458561,1.650244261568136,0.8138693678098812,44.91017964071856,61.20218579234973,49.77777777777778,54.90196078431373
VRSN,57.22045885687265,3274.180911791056,36.58403205061316,16.73130536835981,-1.9073924972865248,54.79041916167665,71.06598984771574,59.82905982905983,64.96519721577727
