Symbol,Price,Volume,Growth,Volatility,Seasonality,Sharpe Ratio,Max Drawdown
A,111.92,4753647.0,0.04479327460886662,0.014572388557933745,0.09095469306924214,0.015522191903237625,-0.44617358322177775
AAL,11.41,62937838.0,0.005346073118235983,0.02881817848522121,0.11377134873882412,0.01445719810060521,-0.6487219209914785
AAP,47.93,2652963.0,-0.19281089317597166,0.025298442850388344,0.006222382867231715,-0.010848264391407927,-0.8747054689760654
AAPL,200.85,70819942.0,0.20088639387020502,0.015717086470806125,0.037869434840988425,0.039737093205618454,-0.33433711682495604
ABBV,186.11,11609036.0,0.15469347781895926,0.01195043272887762,0.022359605430321994,0.039012799242856444,-0.24262688614540484
ABT,133.58,14236848.0,0.07512657548147628,0.011771147520286676,0.14810613095647346,0.022749256946026513,-0.36243461049059916
ACN,316.82,4012710.0,0.09275292401664026,0.013635380879269236,0.08384449352013738,0.024646801694085722,-0.4074189976409426
ADBE,415.09,4231334.0,0.012721054311987112,0.01888280170425775,0.13618361915034385,0.011410958829433628,-0.6002150006537185
ADI,213.98,10923408.0,0.13673365048678288,0.017120848406795276,0.02613004032276744,0.029017935965553632,-0.32491182019522596
ADM,48.27,4963171.0,0.04418670797482105,0.01453802571159578,0.01535332386597053,0.015670915755498123,-0.5745265729993897
ADP,325.53,2925090.0,0.17477336839754898,0.011793713941001073,0.02322404839928624,0.043347675435917,-0.22567617636161597
ADSK,296.12,4533966.0,0.06195004153254424,0.018464590097615224,0.09869070643161164,0.018196432755043977,-0.5199403979314582
AEE,96.88,2370624.0,0.0543380048021167,0.010598260993602164,0.06556744835330558,0.01899483040912551,-0.31052685006598524
AEP,103.49,3896716.0,0.037402863032309774,0.010736224856006643,0.06713021033886435,0.01474588032036643,-0.3218292451036308
AES,10.09,11260958.0,-0.04271975081093704,0.019030739776853097,0.03179172890954414,0.0032513750742099784,-0.6709941920054667
AFL,103.54,3415441.0,0.2288554036368753,0.012343753319351787,0.00967136817603834,0.051928879978097926,-0.2042930051035729
AIG,84.64,7861658.0,0.22620029090912408,0.01608460150870718,0.011752180434328692,0.042768883294270754,-0.3298681541582158
AIV,7.98,863459.0,0.09544901512809689,0.01762212627407461,0.05829810933317839,0.02296195789810786,-0.41095890410958896
AIZ,202.98,5103941.0,0.14526212572864128,0.013653010959382204,0.010619774918080676,0.034025878105413326,-0.4567108533554264
AJG,347.44,2545229.0,0.2977421067791719,0.011150214543695669,0.0033088325744018866,0.06965410769957744,-0.1906054846592454
AKAM,75.93,3105155.0,-0.06406926662721668,0.015921795468238104,0.07737215173913371,-0.0032094710944545056,-0.46843827930174503
ALB,55.76,11048682.0,-0.06356359013295909,0.027153482031846254,0.019641362134917784,0.00705530031101199,-0.8439977872026558
ALGN,180.94,1203360.0,-0.06305837013510884,0.0263157928261813,0.022207906801131425,0.006169787661009355,-0.802279701885138
ALK,50.93,3024510.0,0.07123711999382887,0.0228295505768422,0.1604928697262987,0.019570146091148287,-0.5785191212367785
ALL,209.87,2491910.0,0.1620836380102766,0.01323283813374057,0.006073212144738603,0.03777600176834881,-0.2966773251772552
ALLE,142.7,1088334.0,0.07235520153414132,0.014265318487116754,0.024513234416313284,0.020534957391993396,-0.39924390737865356
