Symbol,Price,Volume,Growth,Volatility,Seasonality,Sharpe Ratio,Max Drawdown
A,0.02870860882743452,0.013702516175557594,0.31235614487087343,0.21427535925875685,0.36137452393510355,0.4489648140996176,0.6246996003502361
AAL,0.0017488566715395037,0.18844038155748433,0.2725928965733133,0.7460149964870766,0.4541965449806084,0.43909842312116476,0.348510486960226
AAP,0.011544599868567519,0.007393774373132819,0.072848317619612,0.6146370273355979,0.01666913000261244,0.20466176610058823,0.040365791990883304
AAPL,0.052562262784490964,0.2121117947713992,0.4696998656973933,0.2570024566000464,0.14541469933039164,0.6732982169451529,0.7771966034800755
ABBV,0.048608559204967615,0.03429051473040114,0.4231368568874958,0.11640799995561069,0.08231808548753365,0.6665881615417512,0.9022500479027015
ABT,0.03451846089883723,0.04218231921566092,0.3429324729424264,0.10971598412053624,0.5938762563174568,0.5159183016810616,0.7388836656922629
ACN,0.08366884379652105,0.011477345600229174,0.360700041918125,0.17930052629573234,0.33244902750204836,0.5334976700653523,0.6775442435066673
ADBE,0.11002776175851292,0.012133913826489437,0.28002696533650845,0.3751662283807423,0.5453734582821075,0.4108772376184828,0.4146531345320783
ADI,0.056084116787146435,0.03223144729117045,0.40503313731792745,0.30939940098907004,0.09765685344746095,0.5739930416205824,0.7900486680700245
ADM,0.01163579791585639,0.01433175542211312,0.31174471848909835,0.2129927285630112,0.05381534502307717,0.45034263214005754,0.4496811388907188
ADP,0.08600512318442122,0.00821102198413402,0.443377625426018,0.11055830037154524,0.08583478594617314,0.7067476284402499,0.9253635503785353
ADSK,0.07811649209393398,0.013042773583193164,0.3296503699968712,0.3595560243039009,0.3928459369909383,0.4737397055114309,0.5241132841325402
AEE,0.024674436382656276,0.0065458582411706545,0.3219773464331076,0.06593671604256313,0.2580949111191198,0.4811362775778383,0.8096636014231389
AEP,0.026447433713772246,0.011128994207715851,0.30490652209827723,0.07108636759014458,0.26445249165210016,0.44177285337761474,0.7942519791950649
AES,0.001394793664418009,0.033245172247141214,0.2241419743456245,0.38068817819578393,0.12068956186736714,0.33528464416725534,0.3181406559743526
AFL,0.026460845191314728,0.009683636547562309,0.49789296021268226,0.131089119722269,0.030700186593718502,0.7862462310330152,0.9545210303966662
AIG,0.021391306680256964,0.023036446894359672,0.4952165750025258,0.27072035598835154,0.0391652834084223,0.7013855413082659,0.7832903530032309
AIV,0.000828829312125317,0.002019563549226727,0.36341773382646375,0.3281101437880446,0.22852200835525394,0.5178888208986725,0.6727173284116116
AIZ,0.05313359172780065,0.014754513715853318,0.4136299418015651,0.1799585882530843,0.03455846590705861,0.6203879737105108,0.6103312805318208
AJG,0.09188203264353632,0.0070702292852745634,0.5673315763360098,0.08653898394007159,0.0048163137742145805,0.950457540479094,0.9731849413309772
AKAM,0.0190550272923568,0.008751790416060772,0.20262140846626678,0.26464344306604437,0.3061184445406309,0.2754296157209681,0.5943400983274846
ALB,0.01364483725172002,0.03260766823661344,0.2031311363871227,0.6838783868128515,0.07125981121514836,0.3705252376301699,0.08223790753943794
ALGN,0.04722181242707509,0.003040348992151976,0.20364040415417034,0.6526107241136321,0.08170094976198237,0.362321608651582,0.1391234940766859
ALK,0.012349288521116372,0.008509598595369728,0.3390118555487093,0.5224829320841597,0.6442676082941926,0.48646615784647607,0.4442370144412502
ALL,0.054981693333154516,0.006910102486496886,0.4305862262607806,0.16427517953933368,0.016062278229804734,0.6551301348241374,0.8285484169788231
ALLE,0.03696471440258573,0.002694904682314936,0.3401388950400892,0.20281363415307208,0.09107941308772158,0.4954044309998393,0.6886915624937632
AMAT,0.040733339592022855,0.045295939905267424,0.49913304562716754,0.5121038020608594,0.06597921563009357,0.6427042981436595,0.4770826989966064
AMD,0.028389415661923476,0.10780677952462148,0.42458315419222936,0.6774309808363672,0.11173487552301543,0.5655186854263852,0.34063246394976743
AME,0.046631707415205934,0.005669219651857269,0.4104302599690255,0.10165490939939426,0.13712678775395115,0.6505977745988161,0.8605837367871783
AMG,0.04589675844587798,0.0002713167047763783,0.47749303222691875,0.3378034496973289,0.13653715556333684,0.6563677515991302,0.670796821948698
AMP,0.1352815739710044,0.002228275868187177,0.557190110765583,0.24214189975742095,0.06386823055414227,0.7951550841029298,0.7954415595350094
AMT,0.05626383058621569,0.017029687314487656,0.22608685549882923,0.1878930974721046,0.41649864666447234,0.2930844619422561,0.5776658793584356
AMZN,0.05367809771602537,0.15462923214702717,0.37470919494874144,0.3676988688533839,0.06058685809068293,0.529221435920875,0.467509980472961
AON,0.0984912087764709,0.004979907704089232,0.4049956852150066,0.12011377364212317,0.08319795302049937,0.6309928625265029,0.8852171793181601
AOS,0.01593819991148425,0.030242429132336785,0.3310248409669219,0.2169721910636716,0.08208492619012733,0.47913196464074276,0.6411228464948374
APA,0.0032509421562973593,0.02264598484762439,0.3450290441538218,0.7538001568580162,0.02447221903069491,0.5040389205717073,0.24178680283278875
APD,0.07350026152381207,0.008054369869918802,0.29573422165327573,0.1894410813636922,0.786152675302032,0.4213018330866763,0.772472409333995
APH,0.02281024100425144,0.06387096089467464,0.5675421047801852,0.1954339640749,0.032776094644732086,0.8412289080321991,0.8389341973050307
APTV,0.016608773788608294,0.010651556932274098,0.23989241294857097,0.4566146169137435,0.10699566666293792,0.37050954502749744,0.23636224308115028
ARE,0.017515389670479997,0.0063210488528456545,0.12042919573170482,0.22240820724411792,0.0829713410362688,0.10369795968956266,0.2832183686646955
AVB,0.054150181725520705,0.005684199536556965,0.3197235331916819,0.1425169550138703,0.14297226402697744,0.4653284214861194,0.6829826383954815
AVGO,0.06361868487051217,0.08077837955523713,0.8004499326577424,0.4654915281642127,0.035269496727811316,0.9086661451899969,0.6674251771910324
AVY,0.04636079556884782,0.003350638023261142,0.3628812079827542,0.1760398006960101,0.06763933836468335,0.537804778075067,0.7889403986077027
AWK,0.03703713638131513,0.010753112622130733,0.2901340516952681,0.11903310968059894,0.29908145064505776,0.4083140752938451,0.6912994620234211
AXP,0.07756125692367527,0.015198420435426569,0.5183280767156311,0.29191764193742,0.03514702667374253,0.7204416766810793,0.7968260184140226
AYI,0.06839853546665235,0.0006519883697712822,0.4998153559107047,0.34511481563738844,0.08232753687260487,0.6800956416596845,0.7595516732259662
AZO,0.9999999999999999,0.0,0.5376635378843813,0.12932572046778806,0.009165830204716795,0.853011639895759,0.9412923635732073
BA,0.054297707978487986,0.021905540679147247,0.33266090820886607,0.487881455111146,0.7620377489941438,0.4789952937296096,0.45640203360722875
BAC,0.010525327575338975,0.19925075289687336,0.3921608411873099,0.2503116880375319,0.16924786592561608,0.5678690793014609,0.564558082428638
BAX,0.006869358797258695,0.014238395422983323,0.07024617557533655,0.2203586644979345,0.00648261955120279,0.0,0.2861728896904774
BBY,0.016466612126657995,0.01877364561135357,0.23614666720936767,0.3908768261395338,0.1769019515573415,0.35389211086040284,0.42453082662887187
BDX,0.044982095677480786,0.009513199816111404,0.203860121151269,0.11504510038713806,0.6163274533917753,0.22336663175844432,0.6636000977033354
BEN,0.004492844976731087,0.06969773962249118,0.2885341673072726,0.35358694151867376,0.355751917917128,0.41887440322948144,0.4724131643989422
BF.B,0.007631130721671607,0.011986000979410568,0.13973764590481547,0.16693940024401088,0.05806210981636356,0.10890209741900012,0.3803153903330029
BHF,0.014731166932660973,0.0031033888397324298,0.4111929834794009,0.5144770321300547,0.5311949697563343,0.5598622087022225,0.7532426216024586
BK,0.022456177997129945,0.01845980981925195,0.45520159699185,0.20088003269908017,0.0962309440974746,0.6763875599101703,0.6682544239275876
BLK,0.26152381207837666,0.00261288170498573,0.39560478348065475,0.18976346836802782,0.30240050574978833,0.5880736157685846,0.6149631575661054
BMY,0.011638480211364887,0.06177047954004522,0.22337510485391815,0.12247508345500313,0.08935633115615885,0.26795341861312844,0.5360928877383769
BRK.B,0.1338653219425184,0.026914837547565112,0.4925947816396908,0.02768063437111995,0.03071436424396,0.8846349031023213,0.870665907411485
BSX,0.02692220001877607,0.031034837403652503,0.4984486513751157,0.13947137284437516,0.008265780272074898,0.7806961742900398,0.8897354834004984
BWA,0.0075640733339592025,0.005495845805884251,0.29232454900514226,0.3326116085149815,0.16014750480101153,0.42291516475583163,0.5766391081230444
BXP,0.016748253155050092,0.006942711064698428,0.21246245942701478,0.3594411589826352,0.027535992797934027,0.31297225971225695,0.3537805935624415
CAG,0.004828131915293108,0.024372824992367554,0.18657488811444295,0.10432037550573925,0.0867580150236892,0.17737908449911832,0.6122247189986765
CAH,0.040113729329560234,0.007713790719106122,0.49990008069470426,0.17024437989499114,0.03477752351868288,0.761298378613685,0.8709109450731023
CAT,0.09204028807853759,0.01404339864801315,0.5055480468320812,0.2523295177588518,0.03797764298624795,0.7228166142329575,0.7655471655305308
CB,0.07840618000885156,0.006885596500300111,0.4686801938114328,0.12360740885269172,0.023035584162710836,0.7422882881945728,0.9605636523219434
CBOE,0.060145112187009644,0.0029403579614630513,0.4373713340687149,0.13876021619315504,0.01201932819582947,0.6787893652040706,0.8983585746487377
CCI,0.025605192924104448,0.014648795612164731,0.16231743130884513,0.17919252551939802,0.05995206000799072,0.1637960017641151,0.4203943176308347
CCL,0.004916647667073481,0.06654952224648923,0.334645640717653,0.9114750243314644,0.22007030492786173,0.5063624672999998,0.14737100892262656
CDNS,0.07568901465874495,0.00814123998716487,0.5258596685666725,0.36197444389527267,0.015230385199124136,0.7037689174492663,0.8296740614708211
CF,0.02301946005391414,0.009505199332382457,0.5204997838281036,0.409819111558436,0.028709534856963766,0.6842098602110499,0.563573853813234
CFG,0.009511419873127421,0.02140750456065112,0.3709567311529572,0.4240385991936051,0.42393955474050005,0.5215804820712251,0.42293172563454595
CHD,0.02505800464037123,0.014176785091264348,0.3224506828661457,0.06957316689451248,0.17062148279799422,0.48159064249342703,0.7947889809262538
CHRW,0.024430347491383127,0.0060325028781169614,0.3028769681447942,0.23561958403799632,0.3814929726619067,0.43364044840930865,0.6438620480888305
CHTR,0.10497968161152313,0.004921853142916455,0.20621708561771798,0.3402147594476469,0.06834374899439379,0.300587669300327,0.29238581642617545
CI,0.08362056247736813,0.007631851830945238,0.36638744005807267,0.22665392141691154,0.01778168357024608,0.5336474430406608,0.8446340437168507
CINF,0.039142738355484624,0.0027501632786409973,0.4728438764889195,0.2460230132889457,0.08392183070278277,0.6822007820859182,0.7341909406977511
CL,0.023617611952308784,0.01839874306394249,0.317897548234986,0.010205680594991051,0.17968493420016352,0.4842524523793161,0.9436263768201676
CLX,0.034062470662392874,0.0069121746838591135,0.18275232264894375,0.16881216764737278,0.09315974619481561,0.20135676430348298,0.5312863451847613
CMA,0.014001582554350012,0.0054948427422335504,0.3551811662943601,0.5411268359819605,0.22603071059984275,0.505689237183781,0.28987593884157126
CMCSA,0.007961053069216635,0.09448370370837977,0.2373216592314755,0.18028055401821796,0.06752254130248046,0.3129692535000127,0.5028331701865243
CME,0.0762066976918847,0.013605699510972834,0.36454332893938524,0.09105132676273275,0.32050345502369776,0.5649279644243321,0.7813204629463792
CMG,0.012121293402894195,0.043955870893407106,0.4591382076039586,0.29058922533204323,0.031727156815041284,0.6477924042206814,0.7140341787769925
CMI,0.08491879350348028,0.003899391922993927,0.4045044761214234,0.1886539681656797,0.17074485556770114,0.6027461766618272,0.7879361094970209
CMS,0.017526118852513983,0.010119692942635757,0.30293457010146396,0.055828629065032664,0.31808394318575467,0.4386819915305446,0.8069267285263981
